Image;Minimum;Maximum;Squared Dynamic Range;Mean;Standard Deviation;Variance;Skewness;Kurtosis;92.5 Percentile;85 Percentile;15 Percentile;7.5 Percentile;Interquartile Range;Median;Shannon Entropy;Bins Entropy;Normalized Energy;Root Mean Square;Mean Absolute Deviation;Robust Mean Absolute Deviaton;label
Img30;0;240;57600;72,60533217;81,8116377;6693,144062;0,537901813;1,68064258;208;176;0;0;144;32;2,900989918;2,900989918;11964,67832;109,383172;74,97195221;56,89972702;0
Img31;0;240;57600;66,42613636;80,01535178;6402,45652;0,744975012;1,98370918;208;176;0;0;144;16;2,950700714;2,950700714;10814,88811;103,9946542;71,47239581;50,49800652;0
Img32;0;240;57600;68,66215035;78,13869696;6105,655963;0,57907775;1,759099188;192;176;0;0;144;32;2,897230188;2,897230188;10820,14685;104,0199349;71,28737817;57,10156734;0
Img33;0;240;57600;66,36407343;78,70995687;6195,257311;0,699894103;1,914157371;208;176;0;0;144;16;2,93200937;2,93200937;10599,44755;102,9536185;70,69660552;52,37638332;0
Img34;0;240;57600;65,08085664;77,04489383;5935,915665;0,684500879;1,871339112;192;176;0;0;144;16;2,915019006;2,915019006;10171,43357;100,8535253;69,2851983;55,2915938;0
Img35;0;240;57600;73,29195804;82,60993145;6824,400774;0,543295672;1,684702411;208;192;0;0;144;32;2,916063518;2,916063518;12196,11189;110,4360081;75,58517455;65,8677132;0
Img36;0;240;57600;62,22552448;72,13137426;5202,935153;0,627333848;1,796486042;176;160;0;0;128;16;2,85438268;2,85438268;9074,951049;95,26253749;65,32353078;51,73419773;0
Img37;0;240;57600;65,00743007;77,07429288;5940,446623;0,701831419;1,923073973;192;176;0;0;128;16;2,925438134;2,925438134;10166,41259;100,8286298;69,06931034;53,50079529;0
Img38;0;240;57600;65,80856643;78,07958373;6096,421395;0,685261867;1,883687521;208;176;0;0;128;16;2,92551923;2,92551923;10427,18881;102,1136074;70,48011932;53,18091168;0
Img39;0;240;57600;57,85664336;71,700575;5140,972456;0,859318527;2,237653932;192;160;0;0;112;16;2,91314778;2,91314778;8488,363636;92,13231592;62,83855529;44,03582233;0
Img40;0;240;57600;69,37412587;81,83857487;6697,552338;0,667917745;1,855260312;208;176;0;0;144;16;2,961038608;2,961038608;11510,32168;107,2861672;74,03879736;60,31043051;0
Img41;0;240;57600;68,84527972;78,91691775;6227,879908;0,61821894;1,840353341;208;176;0;0;144;32;2,930381399;2,930381399;10967,55245;104,7260829;71,51368697;55,83904425;0
